,Char,Genre,Title,line_count,gender
532,PRESIDENT,Comedy,wagthedog,68,
533,(TO BREAN),Comedy,wagthedog,39,
534,SCHUMANN,Comedy,wagthedog,47,
535,(PAUSE),Comedy,wagthedog,289,
536,(TO HIMSELF),Comedy,wagthedog,21,
537,MOSS,Comedy,wagthedog,632,
538,JOYCE,Comedy,wagthedog,22,
539,BREAN,Comedy,wagthedog,772,
540,AMES,Comedy,wagthedog,385,
541,ANNOUNCER,Comedy,wagthedog,37,
542,(ON TV),Comedy,wagthedog,30,
543,(VO),Comedy,wagthedog,53,
544,LOSER CAVEMAN,Comedy,inventionoflyingthe,22,
545,CHIEF CAVEMAN,Comedy,inventionoflyingthe,29,
546,TOUR GUIDE,Comedy,inventionoflyingthe,31,
547,BANK TELLER,Comedy,inventionoflyingthe,61,
548,LANDLORD,Comedy,inventionoflyingthe,29,
549,JIM,Comedy,inventionoflyingthe,67,
550,BLONDE,Comedy,inventionoflyingthe,25,
551,COP,Comedy,inventionoflyingthe,33,
552,ROULETTE DEALER,Comedy,inventionoflyingthe,23,
553,FRANK,Comedy,inventionoflyingthe,43,
554,SHELLEY,Comedy,inventionoflyingthe,37,
555,ANTHONY,Comedy,inventionoflyingthe,69,
556,WAITER,Comedy,inventionoflyingthe,38,
557,JENNIFER (cont'd),Comedy,inventionoflyingthe,24,
558,MARTHA,Comedy,inventionoflyingthe,37,
559,DOCTOR,Comedy,inventionoflyingthe,31,
560,NURSE #1,Comedy,inventionoflyingthe,21,
561,MARK (cont'd),Comedy,inventionoflyingthe,40,
562,(MORE),Comedy,inventionoflyingthe,30,
563,(READING),Comedy,inventionoflyingthe,59,
564,WEDDING OVERSEER,Comedy,inventionoflyingthe,33,
565,ROB,Comedy,inventionoflyingthe,55,
566,GREG,Comedy,inventionoflyingthe,209,
567,JENNIFER,Comedy,inventionoflyingthe,418,
568,MARK,Comedy,inventionoflyingthe,1291,
569,NARRATOR,Comedy,inventionoflyingthe,26,
570,(PAUSE),Comedy,inventionoflyingthe,143,
571,TALK SHOW HOST,Comedy,12,70,
572,INTERVIEWER,Comedy,12,23,
573,DOOLITTLE,Comedy,12,34,
574,DAVE,Comedy,12,31,
575,BRENDA,Comedy,12,22,
576,RANCH HAND,Comedy,12,26,
577,MARIE-NOEL,Comedy,12,128,
578,H. TOM,Comedy,12,26,
579,MORTICIAN,Comedy,12,34,
580,PAN,Comedy,12,23,
581,WOMAN,Comedy,12,23,
582,AUNT DEBBIE,Comedy,12,61,
583,RADIO,Comedy,12,49,
584,BARRY,Comedy,12,39,
585,JULIENNE,Comedy,12,67,
586,ALLEN,Comedy,12,356,
587,TONY,Comedy,12,221,
588,MARGARET,Comedy,adaptation,51,
589,TONY,Comedy,adaptation,29,
590,BOY,Comedy,adaptation,31,
591,MOTHER,Comedy,adaptation,39,
593,BOSS,Comedy,custody,23,
594,OFFICER TWO,Comedy,custody,43,
595,OFFICER ONE,Comedy,custody,36,
596,DETECTIVE JOHNSON,Comedy,custody,44,
597,MS. HEATH,Comedy,custody,69,
598,ZACH,Comedy,custody,72,
600,FRANK,Comedy,custody,46,
601,CONVICT,Comedy,custody,30,
602,CINDY,Comedy,custody,78,
603,JUDGE,Comedy,custody,44,
604,PROSECUTOR,Comedy,custody,74,
605,FATHER,Comedy,custody,21,
606,JAILER,Comedy,custody,23,
607,KRIS,Comedy,custody,52,
608,PHILLIP,Comedy,custody,63,
609,NICHOLAS,Comedy,custody,53,
611,MELANIE,Comedy,custody,356,
612,RICK,Comedy,custody,884,
613,JOHN,Comedy,custody,155,
614,ROGER LEMKE,Comedy,cedarrapids,49,
615,MILLIE ( ON PHONE),Comedy,cedarrapids,58,
616,WOMAN,Comedy,cedarrapids,27,
617,MIKE PYLE,Comedy,cedarrapids,29,
618,BREE,Comedy,cedarrapids,56,
619,(THEN),Comedy,cedarrapids,26,
620,BILL KRAD,Comedy,cedarrapids,209,
621,ORIN,Comedy,cedarrapids,277,
622,(MORE),Comedy,cedarrapids,47,
623,JOAN,Comedy,cedarrapids,353,
624,MILLIE,Comedy,cedarrapids,109,
625,WADE,Comedy,cedarrapids,22,
