char,genre,title,line_count,pkey
BUZZ,Fantasy,hudsuckerproxythe,142,buzz-hudsuckerproxythe
"""PAT MORITA""",Family,megamind,100,"""pat_morita""-megamind"
KELLY,Drama,battleofshakerheightsthe,1033,kelly-battleofshakerheightsthe
CARL,Comedy,breakfastclubthe,70,carl-breakfastclubthe
FUJIMA,Action,miamivice,122,fujima-miamivice
RICHARD,Comedy,fromdusktilldawn,292,richard-fromdusktilldawn
DOUG,Comedy,stateandmain,306,doug-stateandmain
GIRL,Drama,fifthelementthe,34,girl-fifthelementthe
DARKMAN,Thriller,darkman,63,darkman-darkman
FATHER HOMEIJER,Crime,sdarko,57,father_homeijer-sdarko
MORGAN,Western,tombstone,135,morgan-tombstone
PAUL,Sci-Fi,dune,733,paul-dune
HARTMAN,Romance,hisgirlfriday,458,hartman-hisgirlfriday
GRANDMOTHER,Mystery,prophecythe,23,grandmother-prophecythe
AVERY,Romance,jerrymaguire,169,avery-jerrymaguire
BURDON,Thriller,islandthe,30,burdon-islandthe
LIEUTENANT,Western,searchersthe,47,lieutenant-searchersthe
NIKKO,Thriller,copycat,100,nikko-copycat
SLUM LANDLORD,Fantasy,perfectcreature,23,slum_landlord-perfectcreature
VOICE,Mystery,losthighway,22,voice-losthighway
BOB,Horror,jaws2,48,bob-jaws2
JUDGE,Drama,allthekingsmen,122,judge-allthekingsmen
ADMINISTRATOR,Mystery,changeling,22,administrator-changeling
ELLEN BLOCK,Drama,flight,233,ellen_block-flight
GENERAL MARSHALL,Romance,pearlharbor,32,general_marshall-pearlharbor
MARTIN,Thriller,takinglives,33,martin-takinglives
FISCHER,Action,inception,183,fischer-inception
TRAUTMAN,Action,rambofirstbloodiithemission,204,trautman-rambofirstbloodiithemission
RAY,Crime,bountyhunterthe,28,ray-bountyhunterthe
MRS. PILLETTI,Drama,marty,384,mrs._pilletti-marty
SAM (cont'd),Fantasy,lordoftheringsreturnoftheking,63,sam_(cont'd)-lordoftheringsreturnoftheking
SERGEANT AT ARMS,Crime,afewgoodmen,32,sergeant_at_arms-afewgoodmen
SUSAN,Crime,copycat,40,susan-copycat
FRIEND 4,Sci-Fi,waroftheworlds,24,friend_4-waroftheworlds
BONANNO,Comedy,crimespree,93,bonanno-crimespree
SAM,Drama,stuntmanthe,218,sam-stuntmanthe
SOCKHEAD,Sci-Fi,freaked,34,sockhead-freaked
ALICE,Drama,adaptation,64,alice-adaptation
GORDON,Drama,croupier,29,gordon-croupier
JEANNE'S MOTHER,Drama,lasttangoinparis,41,jeanne's_mother-lasttangoinparis
JABBA,Action,starwarsanewhope,39,jabba-starwarsanewhope
RENFRO,Action,fugitivethe,107,renfro-fugitivethe
FRANK,Romance,fabulousbakerboysthe,1588,frank-fabulousbakerboysthe
LYNN,Drama,laconfidential,261,lynn-laconfidential
ALEX,Drama,hesjustnotthatintoyou,364,alex-hesjustnotthatintoyou
MARTY,Romance,coolerthe,23,marty-coolerthe
SYLVIE,Comedy,charade,89,sylvie-charade
KING (V.0.),Thriller,bladetrinity,23,king_(v.0.)-bladetrinity
JOHN,Romance,marleyme,651,john-marleyme
VOICE,Thriller,deepcover,25,voice-deepcover
REPORTER #1,Action,boondocksaints2allsaintsday,39,reporter_#1-boondocksaints2allsaintsday
DIRECTOR GRACE,Action,kingdomthe,126,director_grace-kingdomthe
TAPP,Crime,saw,149,tapp-saw
LUCY,Adventure,despicableme2,327,lucy-despicableme2
HOST,Mystery,strangedays,25,host-strangedays
TRENT,Romance,youthinrevolt,36,trent-youthinrevolt
CONTINUED:,Mystery,redridinghood,76,continued:-redridinghood
ZOEY,Fantasy,christcomplex,608,zoey-christcomplex
IRENA,Adventure,waybackthe,45,irena-waybackthe
COURFEYRAC,Drama,lesmiserables,37,courfeyrac-lesmiserables
ASHER,Horror,bladetrinity,25,asher-bladetrinity
DUNKIN DONUTS CASHIER,Romance,yesman,25,dunkin_donuts_cashier-yesman
BISHOP,Horror,aliens,145,bishop-aliens
